tdoy,Year_1,Year_2,Year_3,Year_4
153,225.60995082509106,,98.80097903891094,40.021858241611305
154,236.1979667085643,,99.55976140165485,38.049719393137906
155,237.2660737264768,,95.02431227888997,32.93770878185922
156,236.17105400658565,,89.60697027114301,33.75805782083425
157,230.88875299681257,,72.87694348251274,34.09720393465321
158,240.12606401797356,,70.23086781696406,38.21864973357574
159,239.5048518905299,,60.375396522297734,41.80995740171471
160,239.5048518905299,,48.92001105641932,49.51605924867486
161,255.2885870019163,,43.74917733918253,54.45182105012727
162,254.92651431617094,,38.38540206533243,55.95258808602275
163,243.8112081554629,,31.68933422346152,65.0960268315963
164,237.1615079058996,,25.81034608848556,69.04120467807948
165,233.34841971371964,,29.510650385205707,67.57221385172782
166,222.72101109060532,,41.50237727272474,71.54970038837698
167,225.0568243555412,,50.346275852270054,72.5405596870555
168,233.69572193976506,,58.698846732951715,75.85627108710516
169,247.30720961918183,,68.61752465376121,79.86608912573001
170,247.31701501753358,,77.98516491230349,88.32494188652187
171,248.8566798966208,,84.21464568423414,90.59391708997397
172,237.17865176304605,,94.5444389001725,87.44849460205121
173,228.53602422879132,,101.0837477707665,74.09882764213987
174,224.26411932077994,,102.66708436738669,76.45489833525723
175,223.9636111622054,,101.09602169787206,61.97499230303502
176,200.65068723741786,,95.55400535186773,55.63630529421566
177,197.92587683881945,,89.03553850680548,45.26055160793463
178,195.78847758355366,,79.75254331227487,41.039234386883486
179,165.67216955891237,,77.08295108486483,31.20507770853944
180,131.66873648448495,,68.95159108607001,20.397089860192217
181,116.02304216470158,,64.20575987578714,22.232207902069657
182,104.66033209879546,,57.363853214296,27.073087422943697
183,107.85950813364198,,46.12357798470343,34.315036910599495
184,103.08093176834151,,35.05360995555924,26.810131023507488
185,90.54507178264141,,27.818595136511416,29.827146638883818
186,88.03789978550138,,20.149479428320728,26.29545031269196
187,85.53072778836138,,17.418809441313442,23.4781889972818
188,62.966179814101196,,3.4403797459189756,16.14424932202565
189,72.99486780266126,,-3.024643988200959,8.608225440411132
190,83.02355579122134,,-6.488049560050923,4.605686283393906
191,93.0522437797814,,-11.882969777740293,11.470434445741628
192,88.03789978550137,,-9.967382164212902,21.724749302763314
193,88.03789978550137,,-4.340343549476211,26.492504723210786
194,90.5450717826414,,8.059982286702816,36.20556766032681
195,95.55941577692144,,16.00556921954861,47.88986880765877
196,98.06658777406145,,23.441823656699157,56.197580756552036
197,115.6167917540416,,31.858311633292292,60.80444009695238
198,138.18133972830177,,42.40697656395569,65.43240293479423
199,143.19568372258183,,51.0005010117806,67.49376909014467
