Date,LT_pct_above_SMA200,MT_pct_RSI_ge_50,ST_pct_RSI_ge_60,RegimeScore,RegimeScore_EMA10
2025-06-10,52.44897959183673,50.40816326530613,21.224489795918366,45.59183673469388,45.64390747475912
2025-06-11,50.61224489795918,64.48979591836735,41.83673469387755,53.0204081632653,46.985089418123884
2025-06-12,51.63265306122449,74.08163265306122,44.48979591836735,56.93877551020408,48.794850525774834
2025-06-13,47.755102040816325,61.42857142857143,33.265306122448976,48.95918367346939,48.82472927990111
2025-06-16,49.795918367346935,51.02040816326531,27.755102040816325,45.755102040816325,48.26661523643116
2025-06-17,46.12244897959184,47.95918367346938,23.6734693877551,42.183673469387756,47.16062582424145
2025-06-18,45.714285714285715,45.91836734693878,24.285714285714285,41.48979591836735,46.129565841355245
2025-06-20,45.714285714285715,48.36734693877551,24.285714285714285,42.22448979591837,45.41955201491218
2025-06-23,50.0,60.40816326530612,31.020408163265305,49.326530612244895,46.12991175988176
2025-06-24,52.85714285714286,64.08163265306122,29.795918367346943,51.61224489795919,47.12669960316857
2025-06-25,47.755102040816325,57.95918367346938,28.57142857142857,46.97959183673469,47.099952736544225
2025-06-26,50.816326530612244,62.04081632653061,35.30612244897959,51.08163265306122,47.82389453954732
2025-06-27,52.44897959183673,62.244897959183675,33.6734693877551,51.63265306122449,48.51639608894316
2025-06-30,54.08163265306123,67.75510204081633,37.142857142857146,54.79591836734694,49.6581274122893
2025-07-01,59.795918367346935,73.87755102040816,39.59183673469388,59.9795918367347,51.534757307643005
2025-07-02,59.795918367346935,71.0204081632653,45.91836734693878,60.38775510204081,53.144393270260785
2025-07-03,62.244897959183675,71.83673469387755,46.73469387755102,62.02040816326531,54.758214159897975
2025-07-07,58.36734693877551,75.51020408163265,52.85714285714286,62.408163265306115,56.14911399724491
2025-07-08,59.183673469387756,74.89795918367346,47.755102040816325,61.61224489795919,57.1424105246475
2025-07-09,60.40816326530612,78.77551020408163,59.591836734693885,65.75510204081633,58.70835443667819
2025-07-10,62.65306122448979,79.18367346938776,63.26530612244898,67.73469387755102,60.34950706229143
2025-07-11,60.61224489795919,75.71428571428571,55.51020408163265,64.12244897959184,61.0354965018006
2025-07-14,59.795918367346935,72.85714285714285,48.57142857142857,61.46938775510204,61.11438582058268
2025-07-15,55.714285714285715,54.285714285714285,30.816326530612244,50.306122448979586,59.14924702574575
2025-07-16,56.734693877551024,65.91836734693878,40.40816326530612,56.22448979591837,58.617472983958955
2025-07-17,59.38775510204082,67.55102040816327,41.42857142857143,58.244897959183675,58.54973207036345
2025-07-18,59.591836734693885,65.51020408163265,38.57142857142858,57.16326530612245,58.29764720413781
2025-07-21,58.16326530612245,58.36734693877551,32.6530612244898,53.12244897959184,57.35670207240218
2025-07-22,63.26530612244898,58.16326530612245,32.857142857142854,55.65306122448979,57.04694919096356
2025-07-23,64.6938775510204,64.08163265306122,35.30612244897959,58.63265306122449,57.33525898555645
2025-07-24,63.6734693877551,53.06122448979592,29.795918367346943,53.714285714285715,56.67690020896177
2025-07-25,64.89795918367346,66.3265306122449,42.04081632653061,60.75510204081632,57.41839145111714
2025-07-28,62.244897959183675,58.16326530612245,34.48979591836735,55.46938775510204,57.06402714275076
2025-07-29,62.244897959183675,56.53061224489796,32.244897959183675,54.53061224489795,56.60340625223206
2025-07-30,60.0,46.326530612244895,28.163265306122447,49.53061224489795,55.317443705444035
2025-07-31,57.75510204081633,46.73469387755102,28.57142857142857,48.61224489795919,54.09831664953769
2025-08-01,54.69387755102041,40.816326530612244,21.63265306122449,43.91836734693878,52.24741677633789
2025-08-04,58.57142857142858,54.69387755102041,37.142857142857146,53.12244897959184,52.40651354056589
2025-08-05,57.3469387755102,50.816326530612244,31.22448979591837,50.16326530612245,51.99865022521254
2025-08-06,55.51020408163265,44.89795918367347,27.755102040816325,46.775510204081634,51.048988403188744
2025-08-07,56.53061224489796,48.16326530612245,28.367346938775512,48.38775510204082,50.56512780298003
