Date,SPY,Composite,Threshold
2024-05-03,497.85980224609375,5.0,5
2024-05-06,503.0011291503906,6.0,5
2024-05-07,503.5561828613281,6.0,5
2024-05-08,503.6048278808594,6.0,5
2024-05-09,506.5065002441406,7.0,5
2024-05-10,507.1589660644531,6.0,5
2024-05-13,507.2270812988281,6.0,5
2024-05-14,509.5542907714844,7.0,5
2024-05-15,515.8640747070312,7.0,5
2024-05-16,514.8027954101562,6.0,5
2024-05-17,515.542724609375,6.0,5
2024-05-20,516.1367797851562,6.0,5
2024-05-21,517.4026489257812,6.0,5
2024-05-22,515.912841796875,5.0,5
2024-05-23,512.1444702148438,5.0,5
2024-05-24,515.5330810546875,6.0,5
2024-05-28,515.8933715820312,7.0,5
2024-05-29,512.2807006835938,7.0,5
2024-05-30,508.8824157714844,5.0,5
2024-05-31,513.5175170898438,6.0,5
2024-06-03,513.93603515625,5.0,5
2024-06-04,514.5106201171875,6.0,5
2024-06-05,520.6256713867188,5.0,5
2024-06-06,520.6158447265625,5.0,5
2024-06-07,519.98291015625,6.0,5
2024-06-10,521.589599609375,7.0,5
2024-06-11,522.845703125,6.0,5
2024-06-12,527.1399536132812,7.0,5
2024-06-13,528.2012939453125,7.0,5
2024-06-14,528.5226440429688,7.0,5
2024-06-17,532.7291259765625,7.0,5
2024-06-18,534.0826416015625,7.0,5
2024-06-20,532.6317138671875,5.0,5
2024-06-21,531.9176635742188,6.0,5
