Date,SPX,Oscillator,Threshold_Up,Threshold_Down
2015-10-28,,0.6720430107526881,0.6,0.2
2015-10-29,,0.6290322580645161,0.6,0.2
2015-10-30,,0.6236559139784946,0.6,0.2
2015-11-02,,0.7204301075268817,0.6,0.2
2015-11-03,,0.6666666666666666,0.6,0.2
2015-11-04,,0.6182795698924731,0.6,0.2
2015-11-05,,0.5860215053763441,0.6,0.2
2015-11-06,,0.5161290322580645,0.6,0.2
2015-11-09,,0.3655913978494624,0.6,0.2
2015-11-10,,0.3655913978494624,0.6,0.2
2015-11-11,,0.3655913978494624,0.6,0.2
2015-11-12,,0.0967741935483871,0.6,0.2
2015-11-13,,0.06989247311827956,0.6,0.2
2015-11-16,,0.25806451612903225,0.6,0.2
2015-11-17,,0.3118279569892473,0.6,0.2
2015-11-18,,0.6075268817204301,0.6,0.2
2015-11-19,,0.6720430107526881,0.6,0.2
2015-11-20,,0.7419354838709677,0.6,0.2
2015-11-23,,0.7365591397849462,0.6,0.2
2015-11-24,,0.7043010752688172,0.6,0.2
2015-11-25,,0.7311827956989247,0.6,0.2
2015-11-27,,0.7580645161290323,0.6,0.2
2015-11-30,,0.5913978494623656,0.6,0.2
2015-12-01,,0.7473118279569892,0.6,0.2
2015-12-02,,0.41935483870967744,0.6,0.2
2015-12-03,,0.14516129032258066,0.6,0.2
2015-12-04,,0.5,0.6,0.2
2015-12-07,,0.3817204301075269,0.6,0.2
2015-12-08,,0.34408602150537637,0.6,0.2
2015-12-09,,0.16666666666666666,0.6,0.2
2015-12-10,,0.1989247311827957,0.6,0.2
2015-12-11,,0.11290322580645161,0.6,0.2
2015-12-14,,0.15053763440860216,0.6,0.2
2015-12-15,,0.3387096774193548,0.6,0.2
2015-12-16,,0.6344086021505376,0.6,0.2
2015-12-17,,0.3548387096774194,0.6,0.2
2015-12-18,,0.20430107526881722,0.6,0.2
2015-12-21,,0.34946236559139787,0.6,0.2
2015-12-22,,0.5967741935483871,0.6,0.2
2015-12-23,,0.8225806451612904,0.6,0.2
2015-12-24,,0.8387096774193549,0.6,0.2
2015-12-28,,0.7741935483870968,0.6,0.2
2015-12-29,,0.8817204301075269,0.6,0.2
2015-12-30,,0.7634408602150538,0.6,0.2
2015-12-31,,0.4731182795698925,0.6,0.2
2016-01-04,,0.11290322580645161,0.6,0.2
2016-01-05,,0.22043010752688172,0.6,0.2
2016-01-06,,0.10215053763440861,0.6,0.2
2016-01-07,,0.043010752688172046,0.6,0.2
2016-01-08,,0.026881720430107527,0.6,0.2
2016-01-11,,0.07526881720430108,0.6,0.2
2016-01-12,,0.13440860215053763,0.6,0.2
2016-01-13,,0.03225806451612903,0.6,0.2
2016-01-14,,0.14516129032258066,0.6,0.2
2016-01-15,,0.08602150537634409,0.6,0.2
2016-01-19,,0.0967741935483871,0.6,0.2
2016-01-20,,0.08064516129032258,0.6,0.2
2016-01-21,,0.1774193548387097,0.6,0.2
2016-01-22,,0.543010752688172,0.6,0.2
2016-01-25,,0.3387096774193548,0.6,0.2
2016-01-26,,0.6612903225806451,0.6,0.2
2016-01-27,,0.521505376344086,0.6,0.2
2016-01-28,,0.5483870967741935,0.6,0.2
2016-01-29,,0.8225806451612904,0.6,0.2
2016-02-01,,0.8387096774193549,0.6,0.2
2016-02-02,,0.5645161290322581,0.6,0.2
2016-02-03,,0.5806451612903226,0.6,0.2
2016-02-04,,0.5806451612903226,0.6,0.2
2016-02-05,,0.3978494623655914,0.6,0.2
2016-02-08,,0.27419354838709675,0.6,0.2
2016-02-09,,0.26881720430107525,0.6,0.2
2016-02-10,,0.2956989247311828,0.6,0.2
2016-02-11,,0.11827956989247312,0.6,0.2
2016-02-12,,0.42473118279569894,0.6,0.2
2016-02-16,,0.6666666666666666,0.6,0.2
2016-02-17,,0.8279569892473119,0.6,0.2
2016-02-18,,0.8602150537634409,0.6,0.2
2016-02-19,,0.8387096774193549,0.6,0.2
2016-02-22,,0.9247311827956989,0.6,0.2
2016-02-23,,0.8655913978494624,0.6,0.2
2016-02-24,,0.8548387096774194,0.6,0.2
2016-02-25,,0.8924731182795699,0.6,0.2
2016-02-26,,0.8387096774193549,0.6,0.2
2016-02-29,,0.6236559139784946,0.6,0.2
2016-03-01,,0.8440860215053764,0.6,0.2
2016-03-02,,0.8817204301075269,0.6,0.2
2016-03-03,,0.8709677419354839,0.6,0.2
2016-03-04,,0.8602150537634409,0.6,0.2
2016-03-07,,0.8118279569892473,0.6,0.2
2016-03-08,,0.6720430107526881,0.6,0.2
2016-03-09,,0.6774193548387096,0.6,0.2
2016-03-10,,0.6290322580645161,0.6,0.2
2016-03-11,,0.8440860215053764,0.6,0.2
2016-03-14,,0.8010752688172043,0.6,0.2
2016-03-15,,0.6505376344086021,0.6,0.2
2016-03-16,,0.7795698924731183,0.6,0.2
2016-03-17,,0.8172043010752689,0.6,0.2
2016-03-18,,0.8602150537634409,0.6,0.2
2016-03-21,,0.8440860215053764,0.6,0.2
2016-03-22,,0.8387096774193549,0.6,0.2
2016-03-23,,0.5967741935483871,0.6,0.2
2016-03-24,,0.5483870967741935,0.6,0.2
2016-03-28,,0.5913978494623656,0.6,0.2
2016-03-29,,0.7311827956989247,0.6,0.2
2016-03-30,,0.7473118279569892,0.6,0.2
2016-03-31,,0.6774193548387096,0.6,0.2
2016-04-01,,0.7741935483870968,0.6,0.2
2016-04-04,,0.6344086021505376,0.6,0.2
2016-04-05,,0.3978494623655914,0.6,0.2
2016-04-06,,0.5698924731182796,0.6,0.2
2016-04-07,,0.3118279569892473,0.6,0.2
2016-04-08,,0.3817204301075269,0.6,0.2
2016-04-11,,0.27956989247311825,0.6,0.2
2016-04-12,,0.521505376344086,0.6,0.2
2016-04-13,,0.7043010752688172,0.6,0.2
2016-04-14,,0.6666666666666666,0.6,0.2
2016-04-15,,0.7365591397849462,0.6,0.2
2016-04-18,,0.7903225806451613,0.6,0.2
2016-04-19,,0.7795698924731183,0.6,0.2
2016-04-20,,0.7043010752688172,0.6,0.2
2016-04-21,,0.521505376344086,0.6,0.2
2016-04-22,,0.543010752688172,0.6,0.2
2016-04-25,,0.44623655913978494,0.6,0.2
2016-04-26,,0.5645161290322581,0.6,0.2
2016-04-27,,0.6290322580645161,0.6,0.2
