date,breadth_count,breadth_percent
2022-08-31,74.0,14.7117296222664
2022-09-01,58.0,11.530815109343937
2022-09-02,44.0,8.747514910536779
2022-09-06,36.0,7.157057654075547
2022-09-07,32.0,6.36182902584493
2022-09-08,24.0,4.7713717693836974
2022-09-09,20.0,3.9761431411530817
2022-09-12,20.0,3.9761431411530817
2022-09-13,14.0,2.783300198807157
2022-09-14,18.0,3.5785288270377733
2022-09-15,32.0,6.36182902584493
2022-09-16,32.0,6.36182902584493
2022-09-19,44.0,8.747514910536779
2022-09-20,46.0,9.145129224652088
2022-09-21,42.0,8.34990059642147
2022-09-22,34.0,6.759443339960239
2022-09-23,23.0,4.572564612326044
2022-09-26,12.0,2.3856858846918487
2022-09-27,9.0,1.7892644135188867
2022-09-28,5.0,0.9940357852882704
2022-09-29,6.0,1.1928429423459244
2022-09-30,4.0,0.7952286282306162
2022-10-03,4.0,0.7952286282306162
2022-10-04,7.0,1.3916500994035785
2022-10-05,11.0,2.1868787276341948
2022-10-06,12.0,2.3856858846918487
2022-10-07,15.0,2.982107355864811
2022-10-10,16.0,3.180914512922465
2022-10-11,24.0,4.7713717693836974
2022-10-12,24.0,4.7713717693836974
2022-10-13,23.0,4.572564612326044
2022-10-14,23.0,4.572564612326044
2022-10-17,23.0,4.572564612326044
2022-10-18,25.0,4.970178926441352
2022-10-19,25.0,4.970178926441352
2022-10-20,31.0,6.163021868787276
2022-10-21,31.0,6.163021868787276
2022-10-24,40.0,7.952286282306163
2022-10-25,48.0,9.542743538767395
2022-10-26,52.0,10.337972166998012
2022-10-27,57.0,11.332007952286283
2022-10-28,61.0,12.127236580516898
2022-10-31,74.0,14.7117296222664
2022-11-01,77.0,15.308151093439365
2022-11-02,82.0,16.302186878727635
2022-11-03,83.0,16.50099403578529
2022-11-04,87.0,17.296222664015904
2022-11-07,94.0,18.687872763419485
2022-11-08,99.0,19.681908548707753
2022-11-09,103.0,20.47713717693837
2022-11-10,102.0,20.278330019880716
2022-11-11,106.0,21.07355864811133
2022-11-14,104.0,20.675944333996025
2022-11-15,101.0,20.07952286282306
2022-11-16,99.0,19.681908548707753
2022-11-17,99.0,19.681908548707753
2022-11-18,95.0,18.886679920477135
2022-11-21,93.0,18.48906560636183
2022-11-22,92.0,18.290258449304176
2022-11-23,98.0,19.4831013916501
2022-11-25,104.0,20.675944333996025
2022-11-28,103.0,20.47713717693837
2022-11-29,114.0,22.664015904572565
2022-11-30,117.0,23.26043737574553
2022-12-01,121.0,24.055666003976143
2022-12-02,127.0,25.24850894632207
2022-12-05,130.0,25.844930417495032
2022-12-06,138.0,27.435387673956264
2022-12-07,137.0,27.236580516898606
2022-12-08,128.0,25.44731610337972
2022-12-09,114.0,22.664015904572565
2022-12-12,122.0,24.254473161033797
2022-12-13,123.0,24.45328031809145
2022-12-14,117.0,23.26043737574553
2022-12-15,98.0,19.4831013916501
2022-12-16,80.0,15.904572564612327
2022-12-19,63.0,12.524850894632205
2022-12-20,58.0,11.530815109343937
2022-12-21,53.0,10.536779324055665
2022-12-22,52.0,10.337972166998012
2022-12-23,52.0,10.337972166998012
2022-12-27,45.0,8.946322067594433
2022-12-28,36.0,7.157057654075547
2022-12-29,28.0,5.566600397614314
2022-12-30,40.0,7.952286282306163
2023-01-03,45.0,8.946322067594433
2023-01-04,61.0,12.127236580516898
2023-01-05,72.0,14.314115308151093
2023-01-06,79.0,15.705765407554672
2023-01-09,84.0,16.69980119284294
2023-01-10,92.0,18.290258449304176
2023-01-11,102.0,20.278330019880716
2023-01-12,110.0,21.868787276341948
2023-01-13,118.0,23.45924453280318
2023-01-17,118.0,23.45924453280318
2023-01-18,118.0,23.45924453280318
2023-01-19,113.0,22.46520874751491
2023-01-20,120.0,23.856858846918488
2023-01-23,121.0,24.055666003976143
2023-01-24,124.0,24.652087475149106
2023-01-25,129.0,25.646123260437374
2023-01-26,136.0,27.037773359840955
2023-01-27,142.0,28.230616302186878
2023-01-30,148.0,29.4234592445328
2023-01-31,151.0,30.019880715705767
2023-02-01,160.0,31.809145129224653
2023-02-02,176.0,34.990059642147116
2023-02-03,178.0,35.387673956262425
2023-02-06,175.0,34.791252485089466
2023-02-07,173.0,34.39363817097416
